DISTRICT_NUMBER|CONTENT_AREA|YEAR|GRADE|ETHNICITY|MEDIAN_SGP|MEDIAN_SGP_TARGET|PERCENT_AT_ABOVE_TARGET|PERCENT_AT_ABOVE_PROFICIENT|MEDIAN_SGP_COUNT|PERCENT_AT_ABOVE_PROFICIENT_COUNT
2690|1|2011|9|4|33|98|10.3|14.6|721|1012
2690|1|2011|9|5|41|92|17.7|28|379|586
2690|1|2012|10|1|29|79|37.5|27.3|8|11
2690|1|2012|10|2|71.5|85.5|40|45.5|10|11
2690|1|2012|10|3|54|99|12.9|10.3|31|39
2690|1|2012|10|4|40.5|99|10.1|9.1|654|734
2690|1|2012|10|5|49|99|20|20|434|496
2690|1|2012|4|1|28|29|33.3|54.5|9|11
2690|1|2012|4|2|62|27|76.9|92.3|13|13
2690|1|2012|4|3|44|59|33.3|62.5|30|32
2690|1|2012|4|4|49|51|50.9|73.1|808|851
2690|1|2012|4|5|51|42|60.8|83.7|367|423
2690|1|2012|5|1|30|30.5|40|63.6|10|11
2690|1|2012|5|2|86|42|75|100|8|9
2690|1|2012|5|3|38|62|36.1|50|36|38
2690|1|2012|5|4|34|58|30.6|49|725|782
2690|1|2012|5|5|42|40.5|46.7|68.7|360|406
2690|1|2012|6|1|54.5|54|50|71.4|4|7
2690|1|2012|6|2|40|36|42.9|60|7|10
2690|1|2012|6|3|32.5|69|12.5|41.7|32|36
2690|1|2012|6|4|33.5|69|20.2|41.3|674|715
2690|1|2012|6|5|35|60|28.6|54.8|343|392
2690|1|2012|7|1|27|74|25|35.3|16|17
2690|1|2012|7|2|80.5|96|50|25|4|4
2690|1|2012|7|3|35|79|7.4|19.4|27|31
2690|1|2012|7|4|31|75.5|12|29.7|682|737
2690|1|2012|7|5|37|69|21.8|46.8|376|421
2690|1|2012|8|1|16|96|0|0|5|10
2690|1|2012|8|2|48|74|40|50|5|6
2690|1|2012|8|3|47.5|91|23.5|29.3|34|41
2690|1|2012|8|4|39|89|16.9|26.3|634|684
2690|1|2012|8|5|40.5|78|25.1|41.7|358|415
2690|1|2012|9|1|25.5|99|0|4.2|14|24
2690|1|2012|9|2|90|98|60|25|5|8
2690|1|2012|9|3|37|99|5.3|8.3|38|48
2690|1|2012|9|4|37|99|7.9|9.9|668|855
2690|1|2012|9|5|36|95|13.4|22.1|343|512
2690|2|2010|10|1|54|13|66.7|50|9|16
2690|2|2010|10|2|58.5|6|75|75|4|4
2690|2|2010|10|3|35|34|55.2|46.2|29|42
2690|2|2010|10|4|38|24|62.2|59.5|563|664
2690|2|2010|10|5|43|4.5|78.7|75.4|399|480
2690|2|2010|4|1|53|35|85.7|90|7|10
2690|2|2010|4|2|89.5|28|75|100|8|10
2690|2|2010|4|3|26|34.5|48.1|68.8|27|33
2690|2|2010|4|4|38|43|45.5|61.9|694|759
2690|2|2010|4|5|47|37|59.4|73.3|389|435
2690|2|2010|5|1|39|36|60|63.6|20|22
2690|2|2010|5|2|78|16|75|57.1|4|8
2690|2|2010|5|3|39|36|48|48.3|25|29
2690|2|2010|5|4|36|41|46.4|62.5|703|757
2690|2|2010|5|5|47|30|66|80.3|421|467
2690|2|2010|6|1|61|49|55.6|38.5|9|13
2690|2|2010|6|2|20|27|60|80|5|5
2690|2|2010|6|3|38|45|48.8|50|41|46
2690|2|2010|6|4|32|39|40.8|58.1|655|737
2690|2|2010|6|5|42|31|60.4|74.8|376|436
2690|2|2010|7|1|30|52|41.7|46.2|12|13
2690|2|2010|7|2|55|28.5|50|85.7|2|7
2690|2|2010|7|3|40|43|41.9|51.2|31|41
2690|2|2010|7|4|34|42|39.9|45.3|656|772
2690|2|2010|7|5|37|29.5|59.2|66|336|404
2690|2|2010|8|1|25|31|28.6|45|14|20
2690|2|2010|8|2|58|26.5|87.5|66.7|8|9
2690|2|2010|8|3|25|31|51.7|52.9|29|35
2690|2|2010|8|4|41|44|48.7|46.8|739|818
2690|2|2010|8|5|41|29|61.9|62|383|447
2690|2|2010|9|1|42|33|57.9|58.3|19|24
2690|2|2010|9|2|29|87.5|33.3|50|6|14
2690|2|2010|9|3|43|46|50|46.9|24|32
2690|2|2010|9|4|43|43|52.7|49.6|670|890
2690|2|2010|9|5|43|19|66.6|70.3|389|556
2690|2|2011|10|1|36|30|70.6|58.3|17|24
2690|2|2011|10|2|45.5|10|58.3|46.7|12|15
2690|2|2011|10|3|45|34|52|38.9|25|37
2690|2|2011|10|4|36|44|51.5|48.6|598|745
2690|2|2011|10|5|38|11|72|67.4|411|496
2690|2|2011|4|1|47|29|63.6|60|11|15
2690|2|2011|4|2|54|30|71.4|85.7|7|7
2690|2|2011|4|3|49|40|57.1|64.1|35|39
2690|2|2011|4|4|40|42|47.8|60|738|794
2690|2|2011|4|5|50|32|64.4|77.8|365|410
2690|2|2011|5|1|31|29|42.9|77.8|7|9
2690|2|2011|5|2|60|14|81.8|100|11|12
2690|2|2011|5|3|35.5|34|53.3|58.3|30|36
2690|2|2011|5|4|38|38.5|48.5|63|715|768
2690|2|2011|5|5|40|33|59.9|77.4|384|430
2690|2|2011|6|1|43|35|42.1|59.1|19|22
2690|2|2011|6|2|39|59.5|50|40|4|5
2690|2|2011|6|3|49|46|56|58.8|25|34
2690|2|2011|6|4|33|37|45.4|55.5|689|746
2690|2|2011|6|5|33|25|57.8|75.5|384|429
2690|2|2011|7|1|37|64|44.4|33.3|9|12
2690|2|2011|7|2|36|20|50|33.3|4|7
2690|2|2011|7|3|44.5|51|41.7|45.9|36|37
2690|2|2011|7|4|37|44|42.7|47.7|647|720
2690|2|2011|7|5|37|30|55.4|65.7|372|413
2690|2|2011|8|1|27|49|27.3|27.8|11|18
2690|2|2011|8|2|19.5|31.5|25|50|4|6
2690|2|2011|8|3|31|34.5|55.6|48.8|36|42
2690|2|2011|8|4|38|42|45.4|48|667|745
2690|2|2011|8|5|40|26|62.4|68.7|338|380
2690|2|2011|9|1|29|40|33.3|45|15|25
2690|2|2011|9|2|50|14|77.8|84.6|9|13
2690|2|2011|9|3|30|28|51.9|47.6|27|43
2690|2|2011|9|4|39.5|43|46.1|47.6|724|1013
2690|2|2011|9|5|43.5|25|61.6|65.7|380|587
2690|2|2012|10|1|36|14|71.4|54.5|7|11
2690|2|2012|10|2|67.5|3.5|80|81.8|10|11
2690|2|2012|10|3|46.5|26|66.7|56.8|30|37
2690|2|2012|10|4|42|23|59.7|56.1|657|735
2690|2|2012|10|5|51.5|7|76.2|73.6|432|493
2690|2|2012|4|1|20|33|33.3|54.5|9|11
2690|2|2012|4|2|63.5|31|83.3|84.6|12|13
2690|2|2012|4|3|35|43|48.3|46.9|29|32
2690|2|2012|4|4|41|37|55.2|63.9|803|850
2690|2|2012|4|5|44|29|61.6|76.8|365|423
2690|2|2012|5|1|33.5|22|50|81.8|10|11
2690|2|2012|5|2|51.5|18|75|77.8|8|9
2690|2|2012|5|3|30|33|48.6|62.2|35|37
2690|2|2012|5|4|37|39|49.2|58.8|736|779
2690|2|2012|5|5|39|26|60.2|78.2|362|408
2690|2|2012|6|1|50.5|42|50|85.7|4|7
2690|2|2012|6|2|78|18|71.4|90|7|10
2690|2|2012|6|3|50|32|59.4|58.3|32|36
2690|2|2012|6|4|36|38|49.1|58.2|670|713
2690|2|2012|6|5|47|32|60.5|71.9|344|392
2690|2|2012|7|1|47|30.5|62.5|64.7|16|17
2690|2|2012|7|2|48.5|59.5|50|25|4|4
2690|2|2012|7|3|36|47|44.4|54.8|27|31
2690|2|2012|7|4|39|38|51.4|54.1|681|736
2690|2|2012|7|5|40|22|60.5|67.9|377|421
2690|2|2012|8|1|22|70|0|20|5|10
2690|2|2012|8|2|61|17|60|66.7|5|6
2690|2|2012|8|3|46|39.5|58.8|57.5|34|40
2690|2|2012|8|4|41.5|38|53.2|51.8|628|681
2690|2|2012|8|5|46|21|66.5|67.4|358|417
2690|2|2012|9|1|42.5|68.5|50|50|14|24
2690|2|2012|9|2|44|33|60|55.6|5|9
2690|2|2012|9|3|42|27.5|60.5|52.1|38|48
2690|2|2012|9|4|41|38|48.7|46.1|659|843
2690|2|2012|9|5|40.5|14.5|65.8|67.2|336|503
